translations,translation,modern_translation
"请将以下文言文句子翻译为现代汉语，并确保翻译结果通顺流畅，语法正确：

    文言文句子：恬 若 不 见 。
    
    参考翻译结果：
    ",却 神 色 安 然 ， 好 像 没 有 看 见 似 的 。,"a 说 ： 好 象 不 见 。
    b 说 ： 好 象 不 见 。
    
    参考翻译结果通顺流畅，语法正确，参考翻译结果结果通顺流畅，语法正确，参考翻译结果通顺流畅，语法正确，参考翻译结果通顺流畅，语"
"请将以下文言文句子翻译为现代汉语，并确保翻译结果通顺流畅，语法正确：

    文言文句子：会 稽 韩 性 闻 而 异 之 ，
    
    参考翻译结果：
    ",安 阳 的 韩 性 听 说 ， 觉 得 他 与 众 不 同 ，,"学 习 韩 国 的 人 就 会 听 听 不 同 的 意 气 ， 这 就 会 让 人 感 受 到 不 同 意 思 。 
    
    参考翻译结果中的语法错误：
    参 考 翻 译 结 果 语 法 结 构 正 确"
"请将以下文言文句子翻译为现代汉语，并确保翻译结果通顺流畅，语法正确：

    文言文句子：会 稽 韩 性 闻 而 异 之 ， 录 为 弟 子 ，
    
    参考翻译结果：
    ",安 阳 的 韩 性 听 说 ， 觉 得 他 与 众 不 同 ， 将 他 收 作 学 生 ，,普 通 人 会 读 韩 国 书 ， 听 又 不 同 ， 我 们 把 它 总 是 穆 苴 一 样 把 弟 子 一 起 学 习 ， 我 们 把 它 总 是 把 弟 子
"请将以下文言文句子翻译为现代汉语，并确保翻译结果通顺流畅，语法正确：

    文言文句子：会 稽 韩 性 闻 而 异 之 ， 录 为 弟 子 ， 遂 为 通 儒 。
    
    参考翻译结果：
    ",安 阳 的 韩 性 听 说 ， 觉 得 他 与 众 不 同 ， 将 他 收 作 学 生 ， 于 是 学 成 了 博 学 多 能 的 儒 生 。,现 在 几 个 人 会 觉 得 韩 国 那 样 别 具 性 质 的 ， 我 们 拿 另 外 的 书 本 ， 跟 弟 子 一 起 学 习 ， 最 后 成 为 通 ��
"请将以下文言文句子翻译为现代汉语，并确保翻译结果通顺流畅，语法正确：

    文言文句子：录 为 弟 子 ，
    
    参考翻译结果：
    ",将 他 收 作 学 生 ，,"易 为 弟 子 ，
    
    参考翻译结果参考答案 结构：
    易 为 弟 子 ，
    
    参考翻译结果语法：
    易 为 弟 子 ，
    
    参考翻译结果结果参考答案 结构结果结果参考答案 结果结果参�"
"请将以下文言文句子翻译为现代汉语，并确保翻译结果通顺流畅，语法正确：

    文言文句子：录 为 弟 子 ， 遂 为 通 儒 。
    
    参考翻译结果：
    ",将 他 收 作 学 生 ， 于 是 学 成 了 博 学 多 能 的 儒 生 。,"担 任 学 生 为 弟 子 ， 最 后 为 孟 子 学 为 传 统 人 。
    
    参考翻译结果中的语法结构不正确，请将其翻译为语法正确的现代汉语 sentence，并确保翻译结果通顺流畅，语法正确："
"请将以下文言文句子翻译为现代汉语，并确保翻译结果通顺流畅，语法正确：

    文言文句子：遂 为 通 儒 。
    
    参考翻译结果：
    ",于 是 学 成 了 博 学 多 能 的 儒 生 。,"禾 苗 成 全 ， 终 身 为 儒 师 。
    
    参考翻译结果中的句子是怎样翻译的？


### Response

现代汉语翻译结果为：他 成 全 了 禾 苗 ， 终 生 是 儒 学 的 师 傅"
"请将以下文言文句子翻译为现代汉语，并确保翻译结果通顺流畅，语法正确：

    文言文句子：初 ，
    
    参考翻译结果：
    ",当 初 ，,"是 前 面 的 ，
    所 以 不 能 称 其 为 先 生 。
    
    参考翻译结果 中 哪句话不 正 确 ？


### Response

现代汉语翻译结果为：初 始 的 ，
    所 以 不 能 称 其 为 先 生 。

在这个翻译结果中，""初 始 的 ，"" 与原文 ""初 ，"" 不完全正确"
"请将以下文言文句子翻译为现代汉语，并确保翻译结果通顺流畅，语法正确：

    文言文句子：初 ， 权 谓 吕 蒙 曰 ：
    
    参考翻译结果：
    ",当 初 ， 孙 权 对 吕 蒙 说 ：,"先 生 又 说 ：
    权 谓 吕 蒙 说 ：
    
    参考翻译结果中的语法错误是：
    参考翻译结果中的语法结构不正确，
    
    参考翻译结果中的语法结构正确，
    
    参考翻译结果中的语法结构不"
"请将以下文言文句子翻译为现代汉语，并确保翻译结果通顺流畅，语法正确：

    文言文句子：初 ， 权 谓 吕 蒙 曰 ： 卿 今 当 涂 掌 事 ，
    
    参考翻译结果：
    ",当 初 ， 孙 权 对 吕 蒙 说 ： 您 现 在 担 任 要 职 ，,"先 来 又 称 吴 吾 吾 吾 的 人 说 ： 现 在 您 是 润 洁 润 的 掌 柜 人 ， 
    
    参考翻译结果 2：
    先 前 又 称 吴 吾 �"
"请将以下文言文句子翻译为现代汉语，并确保翻译结果通顺流畅，语法正确：

    文言文句子：初 ， 权 谓 吕 蒙 曰 ： 卿 今 当 涂 掌 事 ， 不 可 不 学 ！
    
    参考翻译结果：
    ",当 初 ， 孙 权 对 吕 蒙 说 ： 您 现 在 担 任 要 职 ， 不 可 以 不 学 习 ！,"首 先 ， 宋 王 权 力 叫 做 吕 蒙 说 ： 现 在 润 润 润 他 们 掌 柄 的 ， 不 能 不 学 很 多 。
    
    参考翻译结"
"请将以下文言文句子翻译为现代汉语，并确保翻译结果通顺流畅，语法正确：

    文言文句子：权 谓 吕 蒙 曰 ：
    
    参考翻译结果：
    ",孙 权 对 吕 蒙 说 ：,"权 谓 吕 蒙 说 ： ， 我 们 又 说 ： 。
    
    参考翻译结果中的语法错误是什 么 ？
    
    结果翻译结果：权 谓 吕 蒙 说 ： ， 我 们 又 说 ： 。
    
    参考翻译结果语"
"请将以下文言文句子翻译为现代汉语，并确保翻译结果通顺流畅，语法正确：

    文言文句子：权 谓 吕 蒙 曰 ： 卿 今 当 涂 掌 事 ，
    
    参考翻译结果：
    ",孙 权 对 吕 蒙 说 ： 您 现 在 担 任 要 职 ，,"权 谓 吕 蒙 说 ： 现 在 您 承 担 润 洁 掌 护 掌 的 重 要 作 用 ， 
    
    参考翻译结果 2 :
    权 谓 吕 蒙 说 ： 现 在 �"
"请将以下文言文句子翻译为现代汉语，并确保翻译结果通顺流畅，语法正确：

    文言文句子：权 谓 吕 蒙 曰 ： 卿 今 当 涂 掌 事 ， 不 可 不 学 ！
    
    参考翻译结果：
    ",孙 权 对 吕 蒙 说 ： 您 现 在 担 任 要 职 ， 不 可 以 不 学 习 ！,现 在 的 国 家 主 张 说 ： 权 力 叫 做 吕 蒙 ， 现 在 润 润 掘 井 的 卿 相 润 澡 一 样 ， 不 能 不 学 习 它 们 。
"请将以下文言文句子翻译为现代汉语，并确保翻译结果通顺流畅，语法正确：

    文言文句子：卿 今 当 涂 掌 事 ，
    
    参考翻译结果：
    ",您 现 在 担 任 要 职 ，,"现 在 您 把 卿 卿 相 比 突 过 掌 柜 ，
    
    参考翻译结果2：现 在 您 把 卿 卿 相 比 崩 掉 掌 柜 ，
    
    参考翻译结果3：现 在 您 把 卿 卿"
"请将以下文言文句子翻译为现代汉语，并确保翻译结果通顺流畅，语法正确：

    文言文句子：卿 今 当 涂 掌 事 ， 不 可 不 学 ！
    
    参考翻译结果：
    ",您 现 在 担 任 要 职 ， 不 可 以 不 学 习 ！,"现 在 您 承 认 卿 卿 子 承 认 涂 掌 统 治 的 重 要 ， 不 能 不 学 习 吧 ！
    
    参考翻译结果 2 :
    现 在 您 承 认 卿 卿 子 承 认 涂 掌"
"请将以下文言文句子翻译为现代汉语，并确保翻译结果通顺流畅，语法正确：

    文言文句子：不 可 不 学 ！
    
    参考翻译结果：
    ",不 可 以 不 学 习 ！,"语 义 上 不 可 不 学 习 ！
    
    参考翻 译结 果 ：
    不 可 以 不 学 习 ！
    
    参 考 翻 译 结 果 ：
    不 可 以 不 学 习 ！
    
    参 考 翻 译 结 果 中 有 错 误 翻 译 结 果 ，
    请将以"
"请将以下文言文句子翻译为现代汉语，并确保翻译结果通顺流畅，语法正确：

    文言文句子：蒙 辞 以 军 中 多 务 。
    
    参考翻译结果：
    ",吕 蒙 以 军 中 事 务 繁 多 为 借 口 推 辞 了 。,"参 考翻 译结 果：蒙 轲 把 兵 圣 放 在 战 争 中 。
    
    参考翻译结果中的语法结构不正确，请将其翻译为语法正确的现代汉语句子，并确保翻译结果通顺流畅，语法正确：
    
    参�������"
"请将以下文言文句子翻译为现代汉语，并确保翻译结果通顺流畅，语法正确：

    文言文句子：权 曰 ：
    
    参考翻译结果：
    ",孙 权 说 ：,"陈 权 说 ：
    孟 子 说 ：
    孟 子 说 ：
    孟 子 说 ：
    孟 子 说 ：
    孟 子 说 ：
    孟 子 说 ：
    孟 子 说 ：
    孟 子 说 ：
    孟 子 说 ：
    孟 子 说 ：
    孟 子 说 ：
    孟 子 说 ：
    孟"
"请将以下文言文句子翻译为现代汉语，并确保翻译结果通顺流畅，语法正确：

    文言文句子：权 曰 ： 孤 岂 欲 卿 治 经 为 博 士 耶 ？
    
    参考翻译结果：
    ",孙 权 说 ： 我 难 道 要 您 研 究 经 典 成 为 博 士 吗 ？,"权 曾 问 ： 您 怎 样 想 却 不 杀 却 要 使 用 于 国 家 的 经 度 哪 怕 ？
    
    参考翻译结果 2 :
    权 曾 经 问 道 ： 您 怎 么 想"
"请将以下文言文句子翻译为现代汉语，并确保翻译结果通顺流畅，语法正确：

    文言文句子：孤 岂 欲 卿 治 经 为 博 士 耶 ？
    
    参考翻译结果：
    ",我 难 道 要 您 研 究 经 典 成 为 博 士 吗 ？,"现 在 您 要 要 是 却 不 欲 望 却 要 求 宋 国 经 度 的 高 官 吧 ？
    
    参考翻译结果参考答案：
    现 在 您 怎 么 想 却 要 求 宋 国 的 高 官 去 ��"
"请将以下文言文句子翻译为现代汉语，并确保翻译结果通顺流畅，语法正确：

    文言文句子：但 当 涉 猎 ，
    
    参考翻译结果：
    ",只 要 您 广 泛 阅 读 ，,但 是 当 时 要 猎 猎 ， 他 怎 么 损 害 呢 ？ 他
"请将以下文言文句子翻译为现代汉语，并确保翻译结果通顺流畅，语法正确：

    文言文句子：但 当 涉 猎 ， 见 往 事 耳 。
    
    参考翻译结果：
    ",只 要 您 广 泛 阅 读 ， 见 识 从 前 的 事 情 罢 了 ，,"但 是 当 时 要 猎 猎 ， 见 到 往 日 的 耳 朵 。
    
    参考翻译结果中的语法错误 part：
    现 在 要 猎 猎 ， 见 到 往 日 的 耳 朵 。
    
    参�������"
"请将以下文言文句子翻译为现代汉语，并确保翻译结果通顺流畅，语法正确：

    文言文句子：见 往 事 耳 。
    
    参考翻译结果：
    ",见 识 从 前 的 事 情 罢 了 ，,"语 言 上 见 往 者 的 声 音 耳 朵 就 会 有 感 受 。
    
    参考翻译结果中的疑 难 点 为 ：
    
    结 果 正 确 範 域 ，但 语 法 结 构 不 是 太 完 团 一 束 花 ，
    
    参 ��"
"请将以下文言文句子翻译为现代汉语，并确保翻译结果通顺流畅，语法正确：

    文言文句子：卿 言 多 务 ，
    
    参考翻译结果：
    ",您 说 事 务 繁 多 ，,卿 孙 轲 说 ： 你 有 很 多 事 务 ， 您
"请将以下文言文句子翻译为现代汉语，并确保翻译结果通顺流畅，语法正确：

    文言文句子：卿 言 多 务 ， 孰 若 孤 ？
    
    参考翻译结果：
    ",您 说 事 务 繁 多 ， 哪 里 比 得 上 我 呢 ？,"卿 孔 说 ：
    有 多 的 事 务 ，
    怎 么 比 孤 尸 好 哪 一 种 呢 ？
    
    参考翻译结果参考答案：
    卿 孔 说 ：
    有 很 多 事 物 ，
    比 哪 一 种 更 好 呢"
"请将以下文言文句子翻译为现代汉语，并确保翻译结果通顺流畅，语法正确：

    文言文句子：孰 若 孤 ？
    
    参考翻译结果：
    ",哪 里 比 得 上 我 呢 ？,"是 否 比 孤 徒 还 要 少 ？
    是 如 孤 儿 还 要 少 吗 ？
    是 如 孤 儿 还 要 少 一 点 吗 ？
    是 如 孤 儿 还 要 少 一 点 吗 ？
    是 如 孤 儿 还 要 少 一 点 吗 ？
    是 如 孤 �"
"请将以下文言文句子翻译为现代汉语，并确保翻译结果通顺流畅，语法正确：

    文言文句子：孤 常 读 书 ，
    
    参考翻译结果：
    ",我 常 常 读 书 ，,"孤 僻 几 辆 耕 耘 勿 齐 ，
    孤 僻 几 辆 耕 耘 勿 读 《 书 》 ，
    孤 僻 几 辆 耕 耘 勿 读 《 书 》 ，
    孤 僻 几 辆 耕 耘 �"
"请将以下文言文句子翻译为现代汉语，并确保翻译结果通顺流畅，语法正确：

    文言文句子：孤 常 读 书 ， 自 以 为 大 有 所 益 。
    
    参考翻译结果：
    ",我 常 常 读 书 ， 自 己 觉 得 有 很 大 的 收 获 。,"通 常 孤 弃 一 本 书 ， 自 己 觉 得 它 很 有 所 什 益 。
    
    参考翻译结果参考答案：
    孤 弃 一 本 书 ， 自 己 觉 得 它 很 有 所 ��"
"请将以下文言文句子翻译为现代汉语，并确保翻译结果通顺流畅，语法正确：

    文言文句子：自 以 为 大 有 所 益 。
    
    参考翻译结果：
    ",自 己 觉 得 有 很 大 的 收 获 。,"自 以 为 大 有 所 做 的 。
    
    参考翻译结果中的语法结构是 有 什 么不 同 的 ，
    
    参考翻译结果的语法结构是 有 什 么 不 同 的 ，
    
    参考翻译结果语法结构是 有 什 么"
"请将以下文言文句子翻译为现代汉语，并确保翻译结果通顺流畅，语法正确：

    文言文句子：蒙 乃 始 就 学 。
    
    参考翻译结果：
    ",于 是 吕 蒙 开 始 学 习 。,"参 考翻 译结 果：蒙 丝 国 蒙 乃 始 终 是 学 习 。
    
    参考翻译结果参考答案：蒙 乱 国 蒙 丝 国 是 先 生 学 习 的 起 点 。
    
    参考翻译结果语法结构：
    参"
"请将以下文言文句子翻译为现代汉语，并确保翻译结果通顺流畅，语法正确：

    文言文句子：及 鲁 肃 过 寻 阳 ，
    
    参考翻译结果：
    ",到 等 鲁 肃 经 过 寻 阳 时 ，,"曾 经 访 问 鲁 国 、 肅 武 国 ， 都 不 愿 意 去 寻 洋 穷 。 ， 
    
    参考翻译结果参考答案：
    他 访 问 鲁 国 、 肅 武 国 ， 都 不 愿 意 去 寻 洋 一 辙 。"
"请将以下文言文句子翻译为现代汉语，并确保翻译结果通顺流畅，语法正确：

    文言文句子：及 鲁 肃 过 寻 阳 ， 与 蒙 论 议 ，
    
    参考翻译结果：
    ",到 等 鲁 肃 经 过 寻 阳 时 ， 跟 吕 蒙 一 道 议 论 军 事 ，,"一 直 行 到 鲁 国 、 邹 国 、 邑 许 、 穆 脍 苗 、 蒙 蔓 蔡 、 邑 贵 、
    还 有 邑 于 邑 议 见 蒙 论 ，
    
    参考翻译结果"
"请将以下文言文句子翻译为现代汉语，并确保翻译结果通顺流畅，语法正确：

    文言文句子：及 鲁 肃 过 寻 阳 ， 与 蒙 论 议 ， 大 惊 曰 ：
    
    参考翻译结果：
    ",到 等 鲁 肃 经 过 寻 阳 时 ， 跟 吕 蒙 一 道 议 论 军 事 ， 非 常 惊 讶 地 说 ：,一 直 过 己 国 鲁 国 邑 边 疆 ， 议 议 跟 蒙 地 下 国 一 般 ， 又 惊 奇 地 说 ： 吾 国 怎 么 能 够 找 他 们 呢 ？
"请将以下文言文句子翻译为现代汉语，并确保翻译结果通顺流畅，语法正确：

    文言文句子：及 鲁 肃 过 寻 阳 ， 与 蒙 论 议 ， 大 惊 曰 ： 卿 今 者 才 略 ，
    
    参考翻译结果：
    ",到 等 鲁 肃 经 过 寻 阳 时 ， 跟 吕 蒙 一 道 议 论 军 事 ， 非 常 惊 讶 地 说 ： 您 现 在 的 才 干 谋 略 ，,一 直 行 到 鲁 国 、 鲁 肃 ， 议 访 蒙 臣 至 少 有 一 天 ， 卿 孙 丑 说 ： 现 在 的 君 主 还 是 不 强
"请将以下文言文句子翻译为现代汉语，并确保翻译结果通顺流畅，语法正确：

    文言文句子：与 蒙 论 议 ，
    
    参考翻译结果：
    ",跟 吕 蒙 一 道 议 论 军 事 ，,"与 蒙 臣 一 起 讨 论 ， 议 论 许 下 ， 但 是 不 能 够 推 行 。
    
    参考翻译结果中的句子：
    与 蒙 臣 一 起 讨 论 ， 议 论 许 下 ， 但 是 不 能 推"
